product_name,original_url,currency,brand_name,quantity_measurement,product_image,price_per_unit,price,is_available,old_price,discount,product_hash,product_id,discount_start,discount_end,category
Maxi Smrznuta rolnica sa visnjom Maxi 1kg,https://www.maxi.rs/Smrznuti-proizvodi/Smrznuta-testa-i-pica/Slatka-testa/Smrznuta-rolnica-sa-visnjom-Maxi-1kg/p/7424812,RSD,,1 Kg,https://static.maxi.rs/medias/sys_master/products/hb1/hcf/9181318414366.png?buildNumber=cafcc9390aeed60abc54bb7e436ae2f97ce17d3e1e91a21083a22fa74cae3bab,249.99 rsd/Kg,24999,True,,False,f0b7f31822ce3f13c7645c6cc5566b89,7424812,,,Smrznuti proizvodi
Frikom Smrznuta malina 300g Frikom,https://www.maxi.rs/Smrznuti-proizvodi/Smrznuto-vocje/Ostalo-vocje-i-miks/Smrznuta-malina-300g-Frikom/p/7647659,RSD,,300 gr,https://static.maxi.rs/medias/sys_master/hab/hec/9059651354654.png?buildNumber=cafcc9390aeed60abc54bb7e436ae2f97ce17d3e1e91a21083a22fa74cae3bab,1766.63 rsd/Kg,52999,True,,False,60a1b84a2205d1509421a30c52c7a480,7647659,,,Smrznuti proizvodi
Frikom Smrznuta meksicka mesavina Frikom 400g,https://www.maxi.rs/Smrznuti-proizvodi/Smrznuto-povrcje/Meshano-povrcje/Smrznuta-meksicka-mesavina-Frikom-400g/p/7641124,RSD,,400 gr,https://static.maxi.rs/medias/sys_master/h2e/hbb/9005551484958.png?buildNumber=cafcc9390aeed60abc54bb7e436ae2f97ce17d3e1e91a21083a22fa74cae3bab,674.98 rsd/Kg,26999,True,,False,3653fbbffa140bb34a6978589ce37570,7641124,,,Smrznuti proizvodi
Frikom Smrznuta carska mesavina Frikom 700g,https://www.maxi.rs/Smrznuti-proizvodi/Smrznuto-povrcje/Meshano-povrcje/Smrznuta-carska-mesavina-Frikom-700g/p/7662459,RSD,,700 gr,https://static.maxi.rs/medias/sys_master/products/h36/h65/9157050236958.png?buildNumber=cafcc9390aeed60abc54bb7e436ae2f97ce17d3e1e91a21083a22fa74cae3bab,499.99 rsd/Kg,34999,True,,False,8debdd8c1fa896f9d9e3c2528bfa650b,7662459,,,Smrznuti proizvodi
Frikom Smrznuto povrce kinoa mix 400g,https://www.maxi.rs/Smrznuti-proizvodi/Smrznuto-povrcje/Meshano-povrcje/Smrznuto-povrce-kinoa-mix-400g/p/7351657,RSD,,400 gr,https://static.maxi.rs/medias/sys_master/h15/h25/9005556727838.png?buildNumber=cafcc9390aeed60abc54bb7e436ae2f97ce17d3e1e91a21083a22fa74cae3bab,949.98 rsd/Kg,37999,True,,False,615e27ab5c278ee73aa5b5bc301ced1f,7351657,,,Smrznuti proizvodi
Maxi Smrz.polup.baget beli luk Premia 360gr,https://www.maxi.rs/Gotova-i-polugotova-jela/Polugotove-pice/Smrz-polup-baget-beli-luk-Premia-360gr/p/7578089,RSD,,360 gr,https://static.maxi.rs/medias/sys_master/products/hbb/h45/9165076070430.png?buildNumber=cafcc9390aeed60abc54bb7e436ae2f97ce17d3e1e91a21083a22fa74cae3bab,713.86 rsd/Kg,25699,True,,False,e060a1dcac8f81311d018239ae1c5cdf,7578089,,,Smrznuti proizvodi
Maxi Smrznute rol virsle Premia 500g,https://www.maxi.rs/Smrznuti-proizvodi/Smrznuta-testa-i-pica/Slana-testa/Smrznute-rol-virsle-Premia-500g/p/7202485,RSD,,500 gr,https://static.maxi.rs/medias/sys_master/hc4/h08/8829948526622.png?buildNumber=cafcc9390aeed60abc54bb7e436ae2f97ce17d3e1e91a21083a22fa74cae3bab,355.98 rsd/Kg,17799,True,,False,c29d47e4c34bee9352334b158cf4b30b,7202485,,,Smrznuti proizvodi
Maxi Smrznuta mesavina za sataras Maxi 450g,https://www.maxi.rs/Smrznuti-proizvodi/Smrznuto-povrcje/Meshano-povrcje/Smrznuta-mesavina-za-sataras-Maxi-450g/p/7351443,RSD,,450 gr,https://static.maxi.rs/medias/sys_master/h9c/h7f/8842782933022.png?buildNumber=cafcc9390aeed60abc54bb7e436ae2f97ce17d3e1e91a21083a22fa74cae3bab,315.53 rsd/Kg,14199,True,,False,d98a6d354aad3c32e7303df9d6becc7f,7351443,,,Smrznuti proizvodi
Ben&Jerry's Sladoled cookie dough B&J 465ml,https://www.maxi.rs/Smrznuti-proizvodi/Sladoledi/Sladoled-cookie-dough-B-and-J-465ml/p/7534517,RSD,,406 gr,https://static.maxi.rs/medias/sys_master/h10/ha7/8939777785886.png?buildNumber=cafcc9390aeed60abc54bb7e436ae2f97ce17d3e1e91a21083a22fa74cae3bab,2463.03 rsd/Kg,99999,True,,False,0b4cca2ad7665bf3d5ac957a05a2c2e3,7534517,,,Smrznuti proizvodi
Dr Oetker Pizza Ristorante Quattro Formaggi 340g,https://www.maxi.rs/Gotova-i-polugotova-jela/Polugotove-pice/Pizza-Ristorante-Quattro-Formaggi-340g/p/7424890,RSD,,340 gr,https://static.maxi.rs/medias/sys_master/hea/ha1/9072049389598.png?buildNumber=cafcc9390aeed60abc54bb7e436ae2f97ce17d3e1e91a21083a22fa74cae3bab,749.97 rsd/Kg,25499,True,,False,0702492af8dfa139aa6a36c772110e46,7424890,,,Smrznuti proizvodi
Maxi Smrznuta skusa Premia cca 1kg,https://www.maxi.rs/Smrznuti-proizvodi/Smrznuta-riba/Morska-i-rechna-riba/Smrznuta-skusa-Premia-cca-1kg/p/7209461,RSD,,1 Kg,https://static.maxi.rs/medias/sys_master/h3b/had/8825326403614.png?buildNumber=cafcc9390aeed60abc54bb7e436ae2f97ce17d3e1e91a21083a22fa74cae3bab,"388,99 RSD/kilogram",38899,True,,False,1cbbf5e6fa4d862b19cd146f3c32b1ff,7209461,,,Smrznuti proizvodi
